Table|Column|TypeName|Default|Options|Primary|Unique|ForeignTable|ForeignColumn
0|0|VARCHAR(100)||NOT NULL|true|false||
0|1|VARCHAR(100)||NOT NULL|false|true||
0|2|VARCHAR(100)|||false|false||
0|27|TIMESTAMP(6)|CURRENT_TIMESTAMP|NOT NULL|false|false||
0|28|TIMESTAMP(6)|CURRENT_TIMESTAMP|NOT NULL|false|false||
1|0|VARCHAR(100)|||false|false|0|0
1|3|VARCHAR(255)||NOT NULL|true|false||
1|27|TIMESTAMP(6)|CURRENT_TIMESTAMP|NOT NULL|false|false||
1|28|TIMESTAMP(6)|CURRENT_TIMESTAMP|NOT NULL|false|false||
2|0|VARCHAR(100)|||false|false|0|0
2|4|VARCHAR(4)||NOT NULL|false|false||
2|5|VARCHAR(255)||NOT NULL|true|false||
2|6|SMALLINT||NOT NULL|true|false||
2|7|TINYINT||NOT NULL|false|false||
2|8|TINYINT||NOT NULL|false|false||
2|9|TINYINT||NOT NULL|false|false||
2|27|TIMESTAMP(6)|CURRENT_TIMESTAMP|NOT NULL|false|false||
2|28|TIMESTAMP(6)|CURRENT_TIMESTAMP|NOT NULL|false|false||
3|10|VARCHAR(320)||NOT NULL|true|false||
3|27|TIMESTAMP(6)|CURRENT_TIMESTAMP|NOT NULL|false|false||
3|28|TIMESTAMP(6)|CURRENT_TIMESTAMP|NOT NULL|false|false||
4|10|VARCHAR(320)||NOT NULL|false|false|3|10
4|4|VARCHAR(4)||NOT NULL|false|false||
4|5|VARCHAR(255)||NOT NULL|false|false|2|5
4|6|SMALLINT||NOT NULL|false|false|2|6
4|11|VARCHAR(100)|NULL||false|false||
4|12|VARCHAR(100)|NULL||false|false||
4|27|TIMESTAMP(6)|CURRENT_TIMESTAMP|NOT NULL|false|false||
4|28|TIMESTAMP(6)|CURRENT_TIMESTAMP|NOT NULL|false|false||
5|13|INTEGER||GENERATED BY DEFAULT AS IDENTITY PRIMARY KEY|false|false||
5|14|VARCHAR(320)||NOT NULL|false|false||
5|15|VARCHAR(78)||NOT NULL|false|false||
5|16|VARCHAR(512)||NOT NULL|false|false||
5|17|VARCHAR(512)|NULL||false|false||
5|18|VARCHAR(512)|NULL||false|false||
5|19|VARCHAR(512)|NULL||false|false||
5|20|VARCHAR(512)|NULL||false|false||
5|21|VARCHAR(512)|NULL||false|false||
5|27|TIMESTAMP(6)|CURRENT_TIMESTAMP|NOT NULL|false|false||
5|28|TIMESTAMP(6)|CURRENT_TIMESTAMP|NOT NULL|false|false||
6|22|INTEGER||GENERATED BY DEFAULT AS IDENTITY PRIMARY KEY|false|false||
6|13|INTEGER||NOT NULL|false|false|5|13
6|23|VARCHAR(320)||NOT NULL|false|false||
6|24|VARCHAR(128)|NULL||false|false||
6|25|SMALLINT|0|NOT NULL|false|false||
6|27|TIMESTAMP(6)|CURRENT_TIMESTAMP|NOT NULL|false|false||
6|28|TIMESTAMP(6)|CURRENT_TIMESTAMP|NOT NULL|false|false||
7|13|INTEGER||NOT NULL|false|false|5|13
7|26|VARCHAR(512)||NOT NULL|false|false||
7|27|TIMESTAMP(6)|CURRENT_TIMESTAMP|NOT NULL|false|false||
7|28|TIMESTAMP(6)|CURRENT_TIMESTAMP|NOT NULL|false|false||
