Table|Column|TypeName|TypeLenght|Default|Options|Primary|Unique|ForeignTable|ForeignColumn
0|0|VARCHAR|100||NOT NULL|true|false||
0|1|VARCHAR|100||NOT NULL|false|true||
0|2|VARCHAR|100|||false|false||
0|16|TIMESTAMP|6|CURRENT_TIMESTAMP|NOT NULL|false|false||
1|0|VARCHAR|100|||false|false|0|0
1|3|VARCHAR|100||NOT NULL|true|false||
1|16|TIMESTAMP|6|CURRENT_TIMESTAMP|NOT NULL|false|false||
2|0|VARCHAR|100|||false|false|0|0
2|4|VARCHAR|100||NOT NULL|true|false||
2|5|SMALLINT|||NOT NULL|true|false||
2|6|TINYINT|||NOT NULL|false|false||
2|7|TINYINT|||NOT NULL|false|false||
2|8|TINYINT|||NOT NULL|false|false||
2|16|TIMESTAMP|6|CURRENT_TIMESTAMP|NOT NULL|false|false||
3|4|VARCHAR|100||NOT NULL|false|false|2|4
3|5|SMALLINT|||NOT NULL|false|false|2|5
3|9|VARCHAR|100||NOT NULL|true|false||
3|10|VARCHAR|100||NOT NULL|false|false||
3|11|VARCHAR|100||NOT NULL|false|false||
3|16|TIMESTAMP|6|CURRENT_TIMESTAMP|NOT NULL|false|false||
4|12|INTEGER|||GENERATED BY DEFAULT AS IDENTITY PRIMARY KEY|false|false||
4|13|VARCHAR|320||NOT NULL|false|false||
4|14|VARCHAR|512||NOT NULL|false|false||
4|15|TINYINT||0|NOT NULL|false|false||
4|16|TIMESTAMP|6|CURRENT_TIMESTAMP|NOT NULL|false|false||
